NUMBER	ENGLISH	LANGUAGES
1	all	18
2	ashes	18
3	bark	16
4	belly	20
5	big	19
6	bird	18
7	bite	19
8	black	18
9	blood	20
10	bone	18
11	breast	20
12	burn	17
13	claw	20
14	cloud	19
15	cold	18
16	come	18
17	die	18
18	dog	19
19	drink	19
20	dry	17
21	ear	20
22	earth	18
23	eat	20
24	egg	19
25	eye	20
26	fat	18
27	feather	17
28	fire	19
29	fish	19
30	fly	17
31	foot	19
32	full	18
33	give	20
34	good	18
35	green	19
36	hair	19
37	hand	20
38	head	20
39	hear	18
40	heart	16
41	horn	17
42	I	20
43	kill	17
44	knee	19
45	know	19
46	leaf	20
47	lie	17
48	liver	17
49	long	17
50	louse	17
51	man	18
52	many	17
53	meat	17
54	moon	20
55	mountain	18
56	mouth	20
57	name	19
58	neck	18
59	new	20
60	night	18
61	nose	20
62	not	17
63	one	20
64	person	16
65	rain	19
66	red	19
67	road	19
68	root	19
69	round	16
70	sand	19
71	say	17
72	see	18
73	seed	17
74	sit	17
75	skin	19
76	sleep	18
77	small	19
78	smoke	18
79	stand	18
80	star	20
81	stone	20
82	sun	19
83	swim	17
84	tail	19
85	that	20
86	this	20
87	thou	20
88	tongue	20
89	tooth	20
90	tree	18
91	two	20
92	walk	17
93	warm	17
94	water	20
95	we	20
96	what	20
97	white	19
98	who	18
99	woman	18
100	yellow	18
